caso,tema,input,json,json_det,tcf,tcf_det
col-int,tipado puro,"[1, 2, 3]",PRESERVA,,PRESERVA,
col-float,tipado puro,"[1.5, 2.5, 3.5]",PRESERVA,,PRESERVA,
col-bool,tipado puro,"[True, False, True]",PRESERVA,,PRESERVA,
col-str,tipado puro,"['a', 'b', 'c']",PRESERVA,,PRESERVA,
col-null,tipado puro,"[None, None]",PRESERVA,,PRESERVA,
int-x-float,int × float,"[1, 1.0, 2, 2.0]",PRESERVA,,PRESERVA,
neg-zero,-0.0,"[-0.0, 0.0]",PRESERVA,,PRESERVA,
nan,NaN/±Inf,[nan],PRESERVA,,ERRO,HierarchicalError: NaN/Infinity fora do JSON (RFC 8259) — não é P2
inf,NaN/±Inf,"[inf, -inf]",PRESERVA,,ERRO,HierarchicalError: NaN/Infinity fora do JSON (RFC 8259) — não é P2
int-gigante,int gigante,"[9223372036854775808, 10000000000000000000000000]",PRESERVA,,PRESERVA,
uniao-bool-str,união mista,"[True, 'other', None, False, 'other']",PRESERVA,,ERRO,"HierarchicalError: tipos escalares MISTOS {'s', 'b'} numa coluna — union/tipo-misto no mesmo slot está fora do #TCF.8H (fronteira declarada, ratificada 2026-07"
uniao-num-str,união mista,"[1, 'x', 2.5]",PRESERVA,,ERRO,"HierarchicalError: tipos escalares MISTOS {'s', 'n'} numa coluna — union/tipo-misto no mesmo slot está fora do #TCF.8H (fronteira declarada, ratificada 2026-07"
chave-int,chave não-str,{1: 'a'},ALTERA,obtido={'1': 'a'},ERRO,"HierarchicalError: chave de objeto deve ser str, veio int (1) — fora da classe D_json (o json coage chaves p/ str e o round-trip perde: loads(dumps(x)) != x)"
chave-none,chave não-str,{None: 'a'},ALTERA,obtido={'null': 'a'},ERRO,"HierarchicalError: chave de objeto deve ser str, veio NoneType (None) — fora da classe D_json (o json coage chaves p/ str e o round-trip perde: loads(dumps(x))"
chave-bool,chave não-str,{True: 'a'},ALTERA,obtido={'true': 'a'},ERRO,"HierarchicalError: chave de objeto deve ser str, veio bool (True) — fora da classe D_json (o json coage chaves p/ str e o round-trip perde: loads(dumps(x)) != "
chave-duplicada,chave duplicada,"'{""a"": 1, ""a"": 2}'",PRESERVA,"texto='{""a"": 1, ""a"": 2}' -> parse={'a': 2}",NÃO-EXPRESSÁVEL,dict Python nao tem chave duplicada
tuple-em-lista,tuple,"[(1, 2), (3, 4)]",ALTERA,"obtido=[[1, 2], [3, 4]]",ERRO,HierarchicalError: valor escalar de tipo não suportado: tuple
bytes-em-lista,bytes,[b'ab'],ERRO,TypeError: Object of type bytes is not JSON serializable,ERRO,HierarchicalError: valor escalar de tipo não suportado: bytes
dict-vazio,estrutura,{},PRESERVA,,PRESERVA,
lista-vazia,estrutura,[],PRESERVA,,PRESERVA,
chave-vazia,estrutura,"{'': ['a', 'b']}",PRESERVA,,ALTERA,"obtido={'0': ['a', 'b']} [warning: coluna com nome vazio '' tratada como ANONIMA — o decode retorna o nome posicion]"
str-lf,estrutura,"['a\nb', 'c']",PRESERVA,,ERRO,ValueError: valor com quebra de linha (\n) nao e' representavel no TCF (LF delimita linhas): indice 0: 'a\nb'
str-unicode,estrutura,"['héllo wörld', '🚀']",PRESERVA,,PRESERVA,
chave-unicode-nfd,estrutura,{'é': [1]},PRESERVA,,PRESERVA,
escalar-none,escalar raiz,None,PRESERVA,,PRESERVA,
escalar-int,escalar raiz,42,PRESERVA,,PRESERVA,
escalar-str,escalar raiz,'x',PRESERVA,,PRESERVA,
chave-float,chave não-str,{1.5: 'a'},ALTERA,obtido={'1.5': 'a'},ERRO,"HierarchicalError: chave de objeto deve ser str, veio float (1.5) — fora da classe D_json (o json coage chaves p/ str e o round-trip perde: loads(dumps(x)) != "
chave-nan,chave não-str,{nan: 'a'},ALTERA,obtido={'NaN': 'a'},ERRO,"HierarchicalError: chave de objeto deve ser str, veio float (nan) — fora da classe D_json (o json coage chaves p/ str e o round-trip perde: loads(dumps(x)) != "
